10:18:13.204 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:18:13.204 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Max value of array = 2.4

10:18:13.205 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
10:18:13.205 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -1.5, 2.6]
10:18:13.205 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.205 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMinValueOfArray()
10:18:13.205 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -1.5, 2.6]
10:18:13.205 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Min value of array = -3.6

10:18:13.206 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:18:13.206 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.206 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMinValueOfArray()
10:18:13.206 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:18:13.206 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Min value of array = -4.5

